tiempo radio velocidad aceleracion temperatura pg nH2 nH nO nO2 nOH nH2O nN nNH nNH2 nNH3 nN2H nNO nNO2 nN2O nHNO nN2 nArnH2O2 nHO2 
4.39528066563e-005 3.77510928333e-005 -238.048645379 -2011958211.45 3823.15166584 736997.356094 975094641281 1891464092.07 70738656.8994 487474253329 2082677002.76 1.67839013606e+012 0 0 0 0 0 0 0 0 0 0 0 14125.0605799 66.3921352254 
4.39541700437e-005 3.74246481358e-005 -240.838625825 -2074981754.96 3865.39136769 760140.15861 974949903486 2208476897.84 81761260.487 487382900082 2453634696.42 1.65868358775e+012 0 0 0 0 0 0 0 0 0 0 0 17574.8895682 91.2840530209 
4.39554635479e-005 3.71113665618e-005 -243.566973782 -2137780715.91 3906.54289253 783242.707065 974783536461 2561640283.39 93957207.1772 487277798750 2870126371.43 1.63984059092e+012 0 0 0 0 0 0 0 0 0 0 0 21654.8901744 124.092184156 
4.39566936397e-005 3.68101214848e-005 -246.238708225 -2200403882.31 3946.66890088 806318.9932 974593287221 2953327996.5 107418717.024 487157554882 3335413225.73 1.6217824286e+012 0 0 0 0 0 0 0 0 0 0 0 26443.9132547 166.94672165 
4.39578659844e-005 3.65199164281e-005 -248.858358569 -2262897181.99 3985.82494245 829382.073049 974376756988 3385971810.24 122248374.585 487020690338 3852836881.67 1.60443986821e+012 0 0 0 0 0 0 0 0 0 0 0 32026.2520987 222.461643264 
4.39589855681e-005 3.62398655805e-005 -251.430033607 -2325304146.4 4024.06044244 852444.219762 974131396111 3862062207.53 138560711.363 486865640272 4425818819.95 1.58775172137e+012 0 0 0 0 0 0 0 0 0 0 0 38491.6665274 293.82690527 
4.39600568005e-005 3.59691778152e-005 -253.95747879 -2387666302.49 4061.41952295 875517.052688 973854498894 4384149108.62 156483934.14 486690749938 5057860096.95 1.57166366922e+012 0 0 0 0 0 0 0 0 0 0 0 45935.3883349 384.915190102 
4.3961083599e-005 3.57071434853e-005 -256.444124167 -2450023506.81 4097.94169177 898611.647442 973543198380 4954842611.57 176161809.428 486494271321 5752541339.21 1.55612729664e+012 0 0 0 0 0 0 0 0 0 0 0 54458.1081678 500.405089275 
4.39620694586e-005 3.54531234355e-005 -258.893124784 -2512414232.69 4133.66242368 921738.630394 973194461099 5576813707.69 197755714.88 486274359606 6513523002.14 1.54109929298e+012 0 0 0 0 0 0 0 0 0 0 0 64165.9439306 645.922810265 
4.39630175097e-005 3.52065398003e-005 -261.307394939 -2574875819.23 4168.61365384 944908.260533 972805081830 6252794936.05 221446869.596 486029069476 7344545885.5 1.52654078588e+012 0 0 0 0 0 0 0 0 0 0 0 75170.390948 828.20472884 
4.39639305659e-005 3.49668682489e-005 -263.689637399 -2637444689.01 4202.82419903 968130.500954 972371678423 6985580934.1 247438756.069 485756351258 8249431893.47 1.51241678291e+012 0 0 0 0 0 0 0 0 0 0 0 87588.2541269 1055.28336654 
4.39648111654e-005 3.47336314135e-005 -266.042368478 -2700156540.27 4236.32011905 991415.081794 971890686721 7778028839.04 275959747.599 485454046926 9232085027.27 1.49869570067e+012 0 0 0 0 0 0 0 0 0 0 0 101541.562444 1336.69966222 
4.39656616053e-005 3.45063932906e-005 -268.367939661 -2763046517.93 4269.12502831 1014771.55611 971358355659 8633058488.28 307265955.977 485119885974 10296492593.8 1.48534896559e+012 0 0 0 0 0 0 0 0 0 0 0 117157.466094 1683.74472837 
